User ID,Heart Rate (BPM),Blood Oxygen Level (%),Step Count,Sleep Duration (hours),Activity Level,Stress Level
4005.0,76.3,98.38,5986.0,6.94,Sedentary,8.0
1562.0,82.57,95.55,10291.0,9.34,Active,1.0
2899.0,77.96,95.01,2677.0,6.76,Sedentary,6.0
4638.0,90.76,94.86,6852.0,6.24,Sedentary,4.0
2267.0,70.81,97.22,15183.0,8.76,Highly Active,4.0
3879.0,70.01,99.87,503.0,7.39,Highly Active,10.0
2528.0,92.67,95.08,8628.0,5.88,Highly Active,2.0
4202.0,68.1,100.0,8809.0,6.86,Highly Active,4.0
4556.0,60.83,96.92,11060.0,6.83,Sedentary,1.0
4890.0,63.78,95.87,2194.0,6.19,Highly Active,6.0
1646.0,86.23,100.0,3771.0,6.77,Active,5.0
3068.0,115.08,99.93,1918.0,6.5,Highly Active,4.0
3888.0,61.68,99.63,2583.0,5.97,Sedentary,8.0
3214.0,84.68,98.46,24206.0,7.15,Sedentary,1.0
2297.0,77.31,95.86,4130.0,5.71,Active,2.0
3435.0,91.92,100.0,13213.0,5.16,Active,1.0
1600.0,84.55,98.06,11089.0,6.44,Active,8.0
3363.0,92.85,98.27,4116.0,5.79,Active,1.0
3061.0,79.38,98.79,33957.0,4.52,Active,7.0
4060.0,62.48,99.98,12862.0,4.55,Sedentary,6.0
3041.0,64.8,94.74,4614.0,6.5,Highly Active,10.0
3824.0,78.18,97.92,2594.0,6.64,Highly Active,10.0
4417.0,82.01,97.09,548.0,6.97,Highly Active,5.0
3612.0,69.24,100.0,4376.0,6.05,Active,2.0
3945.0,69.24,100.0,3124.0,4.23,Active,1.0
2363.0,89.12,98.59,8698.0,5.19,Active,2.0
3139.0,43.74,95.37,139.0,6.02,Sedentary,3.0
2390.0,73.16,96.82,12464.0,7.15,Sedentary,5.0
4003.0,59.55,92.95,3773.0,3.88,Highly Active,2.0
2478.0,103.59,100.0,4441.0,3.03,Active,7.0
4499.0,41.71,96.86,1413.0,6.5,Highly Active,4.0
3556.0,81.28,100.0,19406.0,7.4,Active,2.0
1775.0,76.85,96.88,3557.0,5.19,Highly Active,1.0
1034.0,87.21,97.61,12948.0,6.15,Sedentary,5.0
3253.0,79.84,97.25,1898.0,5.87,Active,4.0
4152.0,106.04,94.81,712.0,6.93,Sedentary,10.0
2955.0,88.77,94.74,7070.0,5.74,Highly Active,7.0
2585.0,47.43,100.0,29131.0,4.78,Highly Active,2.0
4943.0,96.06,96.48,7288.0,7.23,Highly Active,1.0
4459.0,78.05,99.5,6568.0,9.22,Sedentary,9.0
4073.0,96.09,100.0,4087.0,7.29,Highly Active,2.0
2021.0,70.24,97.17,2337.0,6.5,Highly Active,7.0
4461.0,59.07,98.92,3945.0,6.18,Active,9.0
3613.0,56.23,98.58,1129.0,5.32,Highly Active,8.0
2129.0,90.92,98.67,2126.0,5.89,Highly Active,4.0
4843.0,86.96,98.98,4678.0,7.09,Highly Active,8.0
4893.0,66.12,95.6,1095.0,8.28,Highly Active,2.0
2500.0,40.0,95.11,10976.0,8.35,Active,4.0
1702.0,91.5,97.93,81.0,6.76,Active,6.0
3449.0,44.44,100.0,2716.0,6.78,Active,6.0
2579.0,53.32,95.17,18510.0,7.36,Highly Active,2.0
1161.0,75.21,99.15,5964.0,6.57,Sedentary,2.0
1201.0,78.45,98.51,2446.0,6.6,Active,6.0
2981.0,78.45,98.28,3039.0,5.21,Active,6.0
1995.0,79.86,98.24,2900.0,5.17,Active,9.0
3317.0,76.96,98.62,1392.0,5.46,Sedentary,5.0
4934.0,68.49,97.94,1095.0,6.86,Active,9.0
1815.0,71.65,96.8,4586.0,6.04,Sedentary,9.0
4342.0,65.22,97.55,2205.0,10.37,Highly Active,4.0
1455.0,76.74,94.3,674.0,7.08,Highly Active,10.0
4533.0,48.69,99.05,1708.0,8.86,Sedentary,8.0
4798.0,79.73,99.0,5148.0,8.73,Highly Active,10.0
2275.0,73.52,100.0,2078.0,7.14,Sedentary,9.0
2016.0,87.62,99.22,1900.0,6.44,Sedentary,9.0
4773.0,70.45,97.62,6785.0,5.15,Highly Active,3.0
3343.0,84.03,98.97,8185.0,5.6,Active,1.0
4796.0,83.28,97.36,1933.0,7.76,Active,6.0
3767.0,72.91,96.66,4472.0,6.9,Active,6.0
4820.0,80.29,93.22,10124.0,5.54,Highly Active,10.0
1337.0,54.86,98.78,8196.0,6.19,Highly Active,4.0
1878.0,95.12,99.0,503.0,6.99,Sedentary,9.0
1791.0,72.33,100.0,8993.0,6.14,Active,3.0
4993.0,59.21,98.69,1384.0,6.42,Active,2.0
3264.0,63.48,95.51,1526.0,2.88,Active,10.0
1763.0,99.65,95.6,6963.0,6.53,Active,7.0
3235.0,77.07,98.44,2336.0,4.91,Active,2.0
1379.0,70.55,99.79,2738.0,7.05,Sedentary,1.0
1492.0,70.46,99.92,5179.0,6.7,Highly Active,4.0
4112.0,75.03,97.13,9720.0,7.62,Sedentary,2.0
2180.0,85.84,93.8,4828.0,7.64,Highly Active,10.0
3062.0,77.91,93.8,15672.0,9.08,Sedentary,10.0
4884.0,78.23,93.8,789.0,3.53,Sedentary,3.0
1064.0,61.15,98.67,9821.0,6.31,Active,6.0
4928.0,70.59,97.47,9821.0,3.44,Highly Active,6.0
4910.0,77.35,97.4,11876.0,7.24,Sedentary,9.0
3568.0,74.53,98.96,2663.0,6.25,Sedentary,7.0
2367.0,68.76,97.28,4606.0,5.79,Active,4.0
2152.0,67.39,100.0,12145.0,6.9,Active,4.0
3027.0,81.53,97.62,12477.0,4.92,Active,10.0
3695.0,81.9,94.54,3301.0,6.5,Highly Active,4.0
2495.0,89.84,92.91,12090.0,6.13,Active,7.0
4134.0,77.94,99.07,8029.0,6.61,Sedentary,5.0
2162.0,43.86,99.27,3687.0,6.31,Sedentary,9.0
2522.0,110.37,99.23,24478.0,7.88,Sedentary,9.0
3640.0,74.87,95.38,220.0,4.7,Highly Active,6.0
1391.0,68.85,96.23,3376.0,7.74,Highly Active,7.0
2698.0,74.13,100.0,2567.0,5.72,Active,10.0
1418.0,69.06,97.63,19216.0,5.74,Sedentary,2.0
3336.0,62.72,96.76,733.0,7.82,Highly Active,9.0
1378.0,84.22,100.0,6922.0,6.1,Active,10.0
2796.0,72.77,95.94,8827.0,7.42,Sedentary,8.0
4561.0,73.66,97.17,1425.0,7.45,Highly Active,5.0
3278.0,40.0,100.0,1137.0,5.98,Highly Active,8.0
4065.0,71.6,100.0,343.0,6.85,Highly Active,4.0
3088.0,58.85,100.0,1211.0,5.77,Sedentary,7.0
4099.0,58.85,99.48,11560.0,6.47,Highly Active,7.0
3182.0,78.54,100.0,20171.0,7.21,Active,5.0
1200.0,65.8,99.88,16218.0,5.06,Highly Active,2.0
3996.0,67.87,98.66,3182.0,7.16,Active,9.0
1779.0,76.45,98.02,9059.0,6.5,Highly Active,8.0
3977.0,67.4,97.39,12283.0,4.27,Sedentary,4.0
4104.0,59.17,95.52,11717.0,5.38,Active,6.0
4119.0,49.18,93.57,453.0,5.46,Sedentary,3.0
1502.0,80.05,99.91,1693.0,5.83,Active,4.0
3454.0,67.25,97.8,19572.0,5.07,Highly Active,3.0
4645.0,50.02,96.29,9427.0,7.91,Active,9.0
1804.0,80.07,100.0,5053.0,5.32,Sedentary,8.0
3146.0,57.18,97.69,3495.0,4.77,Highly Active,4.0
3731.0,64.43,99.14,7373.0,6.48,Active,1.0
2895.0,90.7,97.95,4482.0,6.48,Sedentary,7.0
3773.0,90.7,97.27,3276.0,9.73,Active,4.0
2570.0,68.72,100.0,2993.0,5.49,Highly Active,4.0
1960.0,86.26,98.54,1203.0,3.09,Sedentary,3.0
4810.0,72.48,95.5,5276.0,4.27,Sedentary,7.0
3660.0,93.45,98.73,5136.0,3.83,Sedentary,2.0
2485.0,68.81,99.27,6254.0,7.13,Sedentary,2.0
3690.0,66.44,100.0,865.0,6.65,Active,7.0
4840.0,75.25,98.58,17249.0,6.83,Sedentary,1.0
2028.0,89.47,98.12,9485.0,8.19,Active,3.0
4289.0,78.74,99.03,983.0,8.94,Sedentary,10.0
1502.0,76.55,95.89,579.0,7.76,Highly Active,10.0
3814.0,62.89,100.0,7209.0,7.6,Highly Active,2.0
1397.0,60.69,100.0,2925.0,4.29,Highly Active,4.0
1870.0,89.49,100.0,2690.0,5.74,Sedentary,6.0
3842.0,91.06,98.63,12828.0,8.58,Highly Active,4.0
1392.0,90.58,95.25,2963.0,5.68,Highly Active,3.0
1206.0,86.87,98.06,7001.0,8.16,Active,2.0
2038.0,81.7,99.0,5391.0,6.69,Active,4.0
2881.0,81.47,95.95,2136.0,7.67,Active,2.0
4625.0,77.0,96.91,2820.0,5.19,Highly Active,6.0
3939.0,83.43,97.03,20077.0,7.64,Sedentary,10.0
2484.0,74.37,96.75,2818.0,5.54,Sedentary,5.0
4762.0,74.37,100.0,10727.0,6.85,Highly Active,4.0
4646.0,88.76,97.67,13827.0,6.46,Highly Active,3.0
1863.0,56.13,100.0,516.0,8.29,Sedentary,3.0
3790.0,91.44,97.03,7616.0,7.75,Sedentary,2.0
4312.0,74.13,97.31,9683.0,3.85,Highly Active,7.0
1563.0,96.87,98.09,3984.0,5.28,Active,9.0
2020.0,94.06,98.41,5897.0,5.55,Sedentary,1.0
1095.0,59.54,95.9,1236.0,7.54,Sedentary,9.0
2923.0,59.54,98.71,1236.0,5.76,Highly Active,8.0
2757.0,47.01,95.78,8609.0,4.87,Sedentary,10.0
3532.0,69.21,100.0,6459.0,4.45,Highly Active,1.0
4478.0,80.34,96.93,1026.0,7.59,Highly Active,1.0
3278.0,87.7,99.73,30988.0,3.39,Sedentary,6.0
3796.0,76.04,96.88,19441.0,8.08,Sedentary,7.0
2678.0,81.64,100.0,1776.0,4.57,Active,9.0
4242.0,64.46,97.05,14563.0,5.83,Sedentary,10.0
1540.0,74.71,97.89,2176.0,4.75,Highly Active,6.0
2059.0,66.15,97.52,5807.0,5.12,Highly Active,5.0
3572.0,79.24,97.41,10664.0,6.16,Active,2.0
2183.0,95.85,95.06,2952.0,6.16,Sedentary,7.0
4910.0,74.15,96.55,5670.0,4.18,Highly Active,1.0
2722.0,54.43,98.7,4189.0,5.89,Highly Active,4.0
4314.0,77.94,99.09,9996.0,6.65,Highly Active,5.0
4157.0,85.58,95.73,4560.0,7.2,Highly Active,6.0
2819.0,61.23,96.69,5858.0,3.44,Active,1.0
3625.0,93.63,97.84,13076.0,5.78,Highly Active,9.0
3729.0,66.05,98.16,8396.0,3.42,Highly Active,9.0
3604.0,63.6,98.77,5248.0,5.74,Active,4.0
2597.0,48.29,100.0,4330.0,5.85,Sedentary,1.0
4060.0,79.03,98.67,949.0,7.44,Sedentary,8.0
3693.0,102.24,95.99,406.0,7.96,Highly Active,8.0
1795.0,80.5,99.39,21370.0,4.97,Sedentary,7.0
2051.0,63.99,99.96,1445.0,6.94,Highly Active,10.0
2643.0,82.7,94.84,2269.0,7.48,Active,3.0
4627.0,87.01,98.94,6608.0,5.38,Sedentary,2.0
2363.0,92.41,100.0,12319.0,7.66,Highly Active,7.0
4869.0,56.48,96.7,12534.0,6.7,Sedentary,10.0
2981.0,98.3,99.39,12389.0,6.09,Active,7.0
2354.0,78.2,96.6,26745.0,6.71,Highly Active,5.0
2663.0,101.3,97.41,401.0,4.13,Active,9.0
2529.0,77.33,96.24,3574.0,6.71,Active,7.0
3038.0,83.65,99.25,17140.0,5.23,Sedentary,8.0
4419.0,60.77,99.53,4409.0,6.54,Active,6.0
2496.0,89.77,98.84,14352.0,5.89,Sedentary,1.0
4302.0,58.85,99.19,125.0,6.93,Highly Active,9.0
3237.0,79.03,99.45,4913.0,8.29,Sedentary,7.0
4296.0,68.54,100.0,17898.0,6.69,Highly Active,10.0
2408.0,73.68,96.85,2120.0,8.0,Sedentary,8.0
2400.0,91.28,92.94,18581.0,4.97,Active,2.0
2306.0,69.67,97.18,60.0,8.65,Sedentary,7.0
3680.0,91.59,97.2,576.0,4.98,Highly Active,10.0
1972.0,76.96,97.2,787.0,6.09,Active,3.0
2768.0,107.25,98.54,1790.0,5.83,Highly Active,4.0
2282.0,76.83,100.0,2472.0,4.13,Sedentary,10.0
4430.0,73.86,98.03,4598.0,4.81,Active,9.0
1709.0,77.1,98.03,3466.0,1.11,Highly Active,9.0
2479.0,70.05,96.58,17871.0,4.47,Highly Active,5.0
2434.0,70.05,99.44,15202.0,5.51,Active,10.0
1648.0,105.89,97.82,9650.0,8.73,Active,10.0
1317.0,68.91,96.87,7537.0,7.57,Highly Active,3.0
4748.0,52.16,98.12,1600.0,6.99,Highly Active,6.0
4296.0,72.67,99.68,6446.0,9.75,Highly Active,5.0
4890.0,80.35,97.78,1113.0,3.81,Highly Active,6.0
2257.0,71.88,97.67,4220.0,6.4,Active,4.0
1683.0,74.27,97.91,4333.0,9.55,Sedentary,4.0
1663.0,72.54,98.54,8192.0,6.5,Active,1.0
2998.0,81.38,98.41,12618.0,5.26,Active,8.0
4898.0,87.28,98.39,2705.0,7.73,Highly Active,5.0
4445.0,72.11,95.56,294.0,5.66,Sedentary,9.0
4743.0,113.84,97.71,337.0,8.39,Sedentary,10.0
2631.0,113.84,100.0,14546.0,7.75,Highly Active,3.0
2495.0,74.92,99.16,4663.0,6.21,Highly Active,6.0
4304.0,55.22,100.0,1995.0,7.97,Highly Active,3.0
4763.0,76.71,98.83,230.0,6.15,Highly Active,7.0
2136.0,87.21,98.44,5267.0,6.7,Highly Active,1.0
2853.0,87.32,100.0,1032.0,7.38,Sedentary,6.0
2520.0,87.32,97.12,3777.0,5.92,Sedentary,4.0
3489.0,76.73,97.0,5081.0,8.77,Active,2.0
1563.0,67.79,100.0,1822.0,6.6,Sedentary,6.0
2291.0,97.46,99.81,1552.0,6.93,Sedentary,1.0
4581.0,76.86,97.44,140.0,4.53,Highly Active,4.0
4878.0,40.74,96.73,6165.0,5.53,Active,1.0
4457.0,80.52,95.94,1566.0,6.74,Highly Active,8.0
4458.0,45.75,97.36,14739.0,7.8,Highly Active,3.0
4184.0,81.75,99.85,6480.0,8.62,Highly Active,2.0
2636.0,113.81,93.65,5690.0,4.91,Active,8.0
4696.0,95.41,100.0,4918.0,5.26,Sedentary,6.0
3999.0,95.41,99.42,1697.0,4.66,Sedentary,7.0
4152.0,65.11,95.94,24410.0,7.24,Active,9.0
1698.0,94.11,98.12,23888.0,8.62,Sedentary,5.0
3160.0,84.54,96.99,2713.0,6.26,Sedentary,1.0
2781.0,71.0,96.19,10480.0,6.59,Highly Active,8.0
1641.0,66.92,98.58,889.0,6.7,Highly Active,5.0
3267.0,61.4,99.08,10616.0,5.8,Active,6.0
2589.0,80.62,99.54,2361.0,4.67,Sedentary,2.0
1854.0,68.75,94.43,2389.0,8.09,Sedentary,6.0
2759.0,77.52,97.11,4954.0,6.73,Sedentary,6.0
4296.0,88.92,99.24,3487.0,5.68,Sedentary,9.0
3432.0,68.37,99.94,878.0,11.01,Active,7.0
4474.0,84.68,98.5,6294.0,6.5,Active,8.0
2661.0,93.33,100.0,1684.0,3.93,Active,3.0
2153.0,80.93,98.39,4115.0,7.48,Active,4.0
2076.0,85.49,99.06,1839.0,3.74,Highly Active,10.0
2707.0,81.04,96.33,13643.0,7.2,Highly Active,8.0
3777.0,75.24,99.45,2888.0,7.16,Highly Active,10.0
2695.0,87.56,95.39,15293.0,8.57,Active,10.0
2733.0,99.14,95.95,2763.0,5.0,Active,3.0
2439.0,87.82,96.46,1385.0,6.06,Sedentary,8.0
3294.0,87.82,100.0,6017.0,6.4,Active,3.0
1835.0,72.49,97.29,5670.0,7.8,Sedentary,8.0
4510.0,73.05,98.9,6753.0,7.15,Highly Active,2.0
1202.0,89.21,99.12,2518.0,7.28,Highly Active,1.0
4255.0,67.11,99.06,2699.0,8.33,Active,3.0
1122.0,59.63,95.98,1897.0,6.17,Active,8.0
1400.0,82.03,98.74,18457.0,8.69,Sedentary,6.0
1766.0,75.32,96.06,8041.0,6.37,Sedentary,4.0
3327.0,41.15,100.0,1511.0,5.76,Sedentary,4.0
4908.0,78.12,97.5,7584.0,7.39,Highly Active,5.0
3931.0,68.94,97.61,10068.0,8.24,Sedentary,5.0
4681.0,87.15,100.0,2935.0,4.88,Highly Active,1.0
1197.0,70.8,99.68,1201.0,7.92,Sedentary,7.0
4029.0,66.36,96.86,8358.0,6.5,Active,3.0
2930.0,89.04,98.72,6612.0,9.56,Active,7.0
4582.0,94.18,99.18,6000.0,6.1,Highly Active,9.0
3799.0,73.53,95.53,1411.0,6.94,Sedentary,5.0
3191.0,73.82,96.66,2131.0,6.27,Sedentary,5.0
1608.0,94.06,97.52,6864.0,7.49,Active,1.0
4272.0,92.38,98.23,6656.0,3.23,Active,10.0
2147.0,90.47,100.0,5663.0,4.38,Sedentary,7.0
1186.0,68.96,96.82,10231.0,7.5,Sedentary,7.0
4397.0,65.12,100.0,11799.0,6.54,Active,10.0
3511.0,99.55,99.14,2266.0,3.49,Highly Active,10.0
4420.0,84.15,94.98,1201.0,5.55,Active,2.0
2794.0,63.88,98.85,1572.0,6.5,Active,1.0
1659.0,73.4,100.0,2312.0,5.77,Active,8.0
3811.0,76.27,97.81,20662.0,7.9,Active,3.0
4002.0,73.42,96.73,1033.0,8.38,Highly Active,3.0
2955.0,70.62,97.07,14770.0,3.14,Highly Active,2.0
3450.0,93.46,99.18,1592.0,6.32,Highly Active,7.0
2369.0,200.49,95.44,2999.0,6.67,Highly Active,9.0
2986.0,108.8,100.0,942.0,4.28,Active,4.0
2534.0,94.28,100.0,764.0,8.38,Sedentary,4.0
1146.0,77.04,99.61,700.0,7.06,Highly Active,6.0
4219.0,96.26,95.91,2938.0,7.78,Active,4.0
3911.0,80.29,100.0,5192.0,5.83,Sedentary,7.0
2734.0,111.27,100.0,1569.0,5.33,Sedentary,6.0
2843.0,70.28,100.0,18887.0,5.65,Sedentary,9.0
1488.0,81.8,98.91,6180.0,6.33,Highly Active,5.0
3976.0,65.99,98.33,15144.0,5.86,Highly Active,4.0
2959.0,69.28,98.85,1128.0,7.86,Highly Active,3.0
2663.0,69.88,99.28,1084.0,10.5,Active,10.0
3598.0,93.54,100.0,13130.0,7.37,Sedentary,8.0
3385.0,78.12,95.6,5875.0,3.58,Sedentary,8.0
3919.0,78.12,98.79,19531.0,6.73,Highly Active,10.0
1640.0,76.4,99.35,1112.0,4.72,Sedentary,3.0
2802.0,60.39,100.0,185.0,5.89,Highly Active,10.0
3520.0,68.39,97.73,17385.0,6.45,Highly Active,10.0
2969.0,92.26,98.51,8401.0,6.11,Active,1.0
3198.0,54.85,98.1,11522.0,4.95,Highly Active,9.0
2438.0,54.85,98.94,2457.0,7.28,Highly Active,7.0
4369.0,50.09,97.21,22.0,3.51,Sedentary,4.0
2634.0,69.19,99.64,4616.0,7.08,Highly Active,2.0
1262.0,49.66,99.13,32243.0,5.15,Highly Active,3.0
2787.0,50.91,95.44,16667.0,6.92,Highly Active,7.0
3191.0,71.55,96.0,523.0,4.48,Sedentary,1.0
3393.0,79.71,97.98,1456.0,6.85,Active,4.0
1623.0,61.33,100.0,2610.0,8.57,Active,7.0
2016.0,80.42,97.78,12420.0,5.61,Active,9.0
4643.0,76.66,96.29,12189.0,5.58,Sedentary,4.0
1880.0,83.1,96.92,1432.0,7.15,Sedentary,7.0
3049.0,59.39,99.34,5331.0,7.15,Highly Active,4.0
3944.0,104.76,100.0,4877.0,4.43,Highly Active,2.0
2327.0,57.91,97.04,3744.0,8.16,Highly Active,2.0
3301.0,65.62,98.71,5374.0,7.71,Sedentary,7.0
4723.0,82.72,97.24,2425.0,8.42,Sedentary,4.0
1452.0,76.77,99.58,5308.0,7.32,Active,6.0
4108.0,87.7,99.58,8100.0,9.33,Sedentary,6.0
2183.0,70.35,99.87,452.0,3.69,Highly Active,2.0
4062.0,56.6,93.03,23944.0,8.79,Active,9.0
3056.0,52.12,99.56,1265.0,5.92,Sedentary,10.0
4304.0,101.69,97.77,3127.0,5.68,Sedentary,4.0
4170.0,70.46,97.77,4452.0,5.43,Sedentary,9.0
2682.0,72.49,98.03,293.0,7.26,Active,8.0
3863.0,102.02,95.67,5564.0,7.7,Active,4.0
3255.0,67.62,98.43,14280.0,5.8,Active,8.0
1403.0,59.51,98.53,2764.0,10.65,Active,8.0
3199.0,55.32,95.12,5728.0,5.5,Active,6.0
3101.0,103.35,98.45,10498.0,5.91,Highly Active,10.0
4191.0,103.55,99.04,2040.0,8.63,Active,3.0
2696.0,90.32,97.19,5262.0,4.14,Highly Active,3.0
4991.0,89.81,92.0,3198.0,6.87,Highly Active,7.0
1627.0,86.32,97.03,3326.0,2.88,Sedentary,8.0
1586.0,63.91,97.03,692.0,4.43,Active,9.0
2648.0,79.36,97.8,3657.0,4.71,Highly Active,2.0
2443.0,219.2,95.5,1228.0,5.19,Highly Active,9.0
2445.0,40.0,95.42,2509.0,4.63,Active,8.0
1103.0,91.79,99.55,2806.0,6.8,Active,10.0
4923.0,83.32,98.33,3942.0,8.6,Active,6.0
1253.0,55.24,98.99,17415.0,9.56,Sedentary,5.0
4298.0,69.6,96.86,6979.0,4.96,Sedentary,2.0
4183.0,90.78,97.04,25673.0,7.59,Sedentary,5.0
3557.0,76.98,96.72,6252.0,8.31,Sedentary,4.0
2496.0,49.52,96.72,11461.0,6.68,Active,6.0
1098.0,56.8,97.08,12577.0,7.56,Highly Active,1.0
3200.0,232.94,96.01,9403.0,7.19,Highly Active,9.0
2884.0,75.99,96.58,7759.0,7.19,Sedentary,9.0
3961.0,90.88,98.39,3788.0,5.4,Highly Active,2.0
2919.0,102.58,96.0,5864.0,3.51,Sedentary,6.0
1877.0,68.12,98.65,1507.0,5.98,Highly Active,2.0
1337.0,80.28,94.86,6741.0,5.35,Sedentary,4.0
4777.0,45.5,98.61,5055.0,6.08,Active,9.0
3869.0,65.89,97.85,11419.0,7.94,Active,10.0
4234.0,83.64,98.64,16298.0,8.65,Highly Active,6.0
4791.0,72.12,98.65,997.0,6.73,Highly Active,8.0
1956.0,81.78,95.95,8219.0,4.72,Sedentary,2.0
2704.0,81.78,98.11,20977.0,5.92,Sedentary,8.0
1160.0,83.4,95.74,17497.0,5.34,Highly Active,6.0
2603.0,79.96,97.18,12588.0,6.69,Highly Active,1.0
3848.0,77.86,99.88,347.0,5.8,Active,8.0
1397.0,77.86,96.03,2037.0,7.85,Active,4.0
2300.0,61.14,97.89,1124.0,5.23,Highly Active,8.0
1815.0,95.33,96.38,18315.0,9.78,Highly Active,5.0
4987.0,86.89,98.61,9673.0,6.5,Active,2.0
2527.0,63.16,99.85,5312.0,6.96,Highly Active,7.0
2919.0,75.96,97.06,27177.0,4.08,Highly Active,2.0
2415.0,54.12,98.43,1516.0,8.07,Sedentary,6.0
2158.0,67.83,97.56,7182.0,6.57,Highly Active,6.0
2218.0,83.04,96.05,6580.0,6.81,Sedentary,6.0
1400.0,78.9,98.71,2913.0,5.15,Sedentary,9.0
1639.0,76.74,98.97,4650.0,8.13,Highly Active,10.0
4104.0,61.75,96.03,1879.0,7.46,Sedentary,5.0
3735.0,58.7,99.73,7913.0,5.68,Active,7.0
1459.0,89.25,100.0,3792.0,6.48,Sedentary,7.0
1954.0,100.4,96.22,167.0,5.16,Highly Active,3.0
4954.0,83.25,100.0,21081.0,5.05,Active,2.0
1469.0,72.42,98.01,4872.0,5.58,Sedentary,7.0
4446.0,93.38,97.86,8561.0,6.09,Active,5.0
2045.0,93.38,100.0,1535.0,6.5,Active,5.0
3797.0,90.8,99.68,953.0,6.43,Sedentary,2.0
2693.0,66.05,96.75,16290.0,5.2,Active,8.0
3085.0,66.79,96.98,6257.0,7.64,Active,4.0
3277.0,70.01,98.65,4760.0,7.64,Highly Active,6.0
4436.0,73.48,98.63,5155.0,7.87,Sedentary,10.0
1562.0,88.72,97.92,1886.0,7.56,Active,2.0
3485.0,55.44,96.59,17068.0,2.75,Highly Active,3.0
2799.0,65.93,96.91,1688.0,5.0,Highly Active,10.0
4354.0,78.14,97.95,1204.0,4.27,Active,6.0
3074.0,83.37,94.83,18619.0,3.84,Highly Active,8.0
1225.0,49.43,99.0,2085.0,8.22,Sedentary,6.0
4348.0,63.14,98.52,13888.0,9.04,Sedentary,9.0
1797.0,48.77,96.13,10365.0,6.5,Active,5.0
3331.0,68.44,94.57,2051.0,5.96,Active,7.0
3926.0,82.54,98.74,9960.0,8.25,Active,9.0
1959.0,40.64,99.8,6372.0,6.92,Sedentary,5.0
2504.0,84.8,98.79,2052.0,5.72,Active,3.0
1452.0,67.36,99.21,15507.0,7.34,Active,3.0
4067.0,69.89,99.33,8935.0,6.5,Active,8.0
